X,Y,MI_PRINX,Id,CP_Name,ADDRESS,CH_SPEED,CH_TYPE,LOCATION,CON_TYPE,CP_CHARGE,USAGE_,OUTPUT1_kW,OUTPUT2_kW,STAY
285847.9052,749128.0441,1,50995,CAR PARK OFF MONESS TERRACE,MONESS TERRACE,RAPID,COMPACT TRI RAPID,ABERFELDY,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
285851.3935,749129.982100001,2,50811,CAR PARK OFF MONESS TERRACE,MONESS TERRACE,FAST,STANDARD DUAL OUTLET POST,ABERFELDY,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
324594.7646,748530.0606,3,51261,CAR PARK IN MARKET SQUARE,MARKET SQUARE,FAST,STANDARD DUAL OUTLET POST,ALYTH,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
294480.8801,712789.230900001,4,51250,CAR PARK OFF HIGH STREET,CROWN INN WYND,RAPID,QC45 RAPID CHARGER,AUCHTERARDER,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
317925.2794,745163.0101,5,50994,CAR PARK OFF CROFT LANE AT LESLIE STREET,LESLIE STREET,RAPID,COMPACT TRI RAPID,BLAIRGOWRIE,"TYPE 2;CHAdeMO;CCS",CHARGE,PUBLIC,50,43,1
286263.6019,721608.8026,6,50993,CAR PARK OFF KING STREET TOWARDS GALVELMORE STREET,KING STREET,RAPID,COMPACT TRI RAPID,CRIEFF,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
286267.1167,721607.756100001,7,50813,CAR PARK OFF KING STREET TOWARDS GALVELMORE STREET,KING STREET,FAST,STANDARD DUAL OUTLET POST,CRIEFF,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
302613.3414,742878.782400001,8,51249,CAR PARK WEST END OFF ST NINIANS COURT,ATHOLL STREET,RAPID,QC45 RAPID CHARGER,DUNKELD,"TYPE 2;CHAdeMO;CCS",CHARGE,PUBLIC,50,43,1
311211.8651,702495.014699999,9,50279,CAR PARK OFF JUNCTION ROAD PARK AND RIDE,JUNCTION ROAD,FAST,STANDARD DUAL OUTLET POST,KINROSS,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
311214.457,702495.478700001,10,50280,CAR PARK OFF JUNCTION ROAD PARK AND RIDE,JUNCTION ROAD,FAST,STANDARD DUAL OUTLET POST,KINROSS,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
311216.7063,702495.8707,11,51516,CAR PARK OFF JUNCTION ROAD PARK AND RIDE,JUNCTION ROAD,RAPID,COMPACT TRI RAPID,KINROSS,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
311218.9556,702496.283399999,12,50745,CAR PARK OFF JUNCTION ROAD PARK AND RIDE,JUNCTION ROAD,RAPID,COMPACT TRI RAPID,KINROSS,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
308789.1915,722564.089299999,13,50283,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
308788.5565,722558.850500001,14,50284,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
308787.7628,722553.6118,15,50285,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",FREE,PUBLIC, ,22,1
308786.969,722548.214199999,16,50286,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,RAPID,COMPACT TRI RAPID,PERTH,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
308786.1752,722543.927999999,17,50245,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,RAPID,COMPACT TRI RAPID,PERTH,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
308785.699,722539.6417,18,51519,ACCESS ROAD INTO PARK AND RIDE BROXDEN AVENUE,BROXDEN AVENUE,RAPID,COMPACT TRI RAPID,PERTH,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
312126.8431,721350.0801,19,50275,FRIARTON WASTE TRANSFER STATION,FRIARTON ROAD,STANDARD,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL, ,7,
312104.6457,721329.126399999,20,51517,FRIARTON WASTE TRANSFER STATION,FRIARTON ROAD,RAPID,COMPACT TRI RAPID,PERTH,"TYPE 2;CHAdeMO;CCS",N/A,COUNCIL,50,43,
312012.1055,723034.2564,21,52076,CAR PARK OFF SHORE ROAD AT SOUTH INCH,SHORE ROAD,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,1
312011.8782,723030.818700001,22,50277,CAR PARK OFF SHORE ROAD AT SOUTH INCH,SHORE ROAD,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,1
312011.4939,723027.046499999,23,50278,CAR PARK OFF SHORE ROAD AT SOUTH INCH,SHORE ROAD,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,1
312027.6316,723055.5042,24,50575,CAR PARK OFF SHORE ROAD AT SOUTH INCH,SHORE ROAD,RAPID,COMPACT TRI RAPID,PERTH,"TYPE 2;CHAdeMO;CCS",CHARGE,PUBLIC,50,43,1
311860.795,723381.816,25,51318,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,20,22,
311856.8297,723381.9738,26,51319,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,20,22,
311852.8129,723381.816,27,51320,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,20,22,
311848.4805,723381.816,28,51321,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,20,22,
311818.5779,723377.4208,29,51492,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC,20,22,1
311822.3453,723377.630100001,30,51493,CAR PARK MULTI STOREY OFF CANAL STREET,CANAL STREET MSCP,SEMI RAPID,QC20 SEMI RAPID,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC,20,22,1
311795.3742,723695.0244,31,50838,CAR PARK OFF MILL STREET EAST,MILL STREET,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,2
311795.2352,723691.4976,32,50839,CAR PARK OFF MILL STREET EAST,MILL STREET,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,2
293653.1649,758220.705600001,33,50297,CAR PARK OFF RIE-ACHAN ROAD,RIE ACHAN ROAD,RAPID,COMPACT TRI RAPID,PITLOCHRY,"TYPE 2;CHAdeMO;CCS",CHARGE,PUBLIC,50,22,1
293651.8218,758216.457900001,34,50282,CAR PARK OFF RIE-ACHAN ROAD,RIE ACHAN ROAD,RAPID,COMPACT TRI RAPID,PITLOCHRY,"TYPE 2;CHAdeMO;CCS",CHARGE,PUBLIC,50,43,1
293650.0332,758211.5074,35,50281,CAR PARK OFF RIE-ACHAN ROAD,RIE ACHAN ROAD,FAST,STANDARD DUAL OUTLET POST,PITLOCHRY,"TYPE 2;TYPE2",CHARGE,PUBLIC, ,22,1
310825.8098,732948.078600001,36,53364,STANLEY SQUARE CAR PARK,THE SQUARE,FAST,STANDARD DUAL OUTLET POST,STANLEY,"TYPE 2;TYPE2",FREE,PUBLIC,,22,1
307993.2105,760033.0032,37,53365,FIRE STATION CAR PARK,FIRE STATION CAR PARK,FAST,STANDARD DUAL OUTLET POST,KIRKMICHAEL,"TYPE 2;TYPE2",FREE,PUBLIC,,22,1
318152.9268,744789.282299999,38,,,SIGNAL BOX ROAD,FAST,STANDARD DUAL OUTLET POST,BLAIRGOWRIE,"TYPE 2;TYPE2",N/A,COUNCIL,,22,
287109.266,720292.408199999,39,,,ACCESS ROAD TO NORTH FORR COUNCIL DEPOT OFF B8062,FAST,STANDARD DUAL OUTLET POST,CRIEFF,"TYPE 2;TYPE2",N/A,COUNCIL,,22,
286712.68,721487.3003,40,52747,LEADENFLOWER CAR PARK,LEADENFLOWER ROAD,RAPID,COMPACT TRI RAPID,CRIEFF,"TYPE 2;CHAdeMO;CCS",FREE,PUBLIC,50,43,1
277209.5378,722035.941,41,52944,SCHOOL ROAD CAR PARK,SCHOOL ROAD,FAST,STANDARD DUAL OUTLET POST,COMRIE,"TYPE 2;TYPE2",FREE,PUBLIC,,22,1
311942.0944,704716.872,42,52946,STIRLING ROAD CAR PARK,STIRLING ROAD,FAST,STANDARD DUAL OUTLET POST,MILNATHORT,"TYPE 2;TYPE2",FREE,PUBLIC,,22,1
310815.2691,702640.971799999,43,,,TURFHILLS DEPOT,FAST,STANDARD DUAL OUTLET POST,KINROSS,"TYPE 2;TYPE2",N/A,COUNCIL,,22,
311844.2002,723381.762800001,44,,CANAL STREETMULTY STOREY CAR PARK,CANAL STREET,STANDARD,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,,,
312099.6931,721327.411699999,45,,FRIARTON WASTE TRANSFER STATION,FRIARTON ROAD,FAST,STANDARD DUAL OUTLET POST,PERTH,"TYPE 2;TYPE2",N/A,COUNCIL,,22,
